,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,90.16375,90.16375,90.19175,0.028000000000005798,False,0.15175000000000693,0.17975000000001273,1,0.4628442151454727,90.1775,0.013750000000001705,0.014250000000004093,35.71428571427832,0.009745658735029536
MeanVar1,90.3435,90.3435,90.37299999999999,0.02949999999998454,False,0.1492500000000092,0.17874999999999375,1,0.4704277594946953,90.358,0.014499999999998181,0.014999999999986358,33.89830508476353,0.010306175249310583
MeanVar1,90.52225,90.52225,90.55275,0.030500000000003524,False,0.1490000000000009,0.17950000000000443,1,0.48493990337065945,90.538,0.015749999999997044,0.01475000000000648,32.78688524589785,0.011030954345971532
MeanVar1,90.70175,90.70175,90.73200000000001,0.030250000000009436,False,0.15074999999998795,0.18099999999999739,1,0.474582690022578,90.71600000000001,0.014250000000004093,0.016000000000005343,33.05785123965911,0.010653123683513285
MeanVar1,90.88275,90.88275,90.91125,0.028499999999993975,False,0.1532499999999999,0.18174999999999386,1,0.4645567454153436,90.89675,0.013999999999995794,0.014499999999998181,35.087719298253035,0.009855910781951773
MeanVar1,91.0645,91.0645,91.09275,0.028249999999999886,False,0.1525000000000034,0.1807500000000033,1,0.46920386622069266,91.07875,0.014250000000004093,0.013999999999995794,35.398230088495716,0.00986081383629266
MeanVar1,91.24525,91.24525,91.274,0.028750000000002274,False,0.15049999999999386,0.17924999999999613,1,0.4645800419644367,91.25925000000001,0.014000000000010004,0.01474999999999227,34.78260869564942,0.009975340141566182
MeanVar1,91.4245,91.4245,91.45475,0.030250000000009436,False,0.1487499999999926,0.17900000000000205,1,0.4837190907380904,91.43975,0.015250000000008868,0.015000000000000568,33.05785123965911,0.010827562998281165
MeanVar1,91.6035,91.6035,91.63425,0.030749999999997613,False,0.1495000000000033,0.1802500000000009,1,0.48112563007526127,91.6185,0.015000000000000568,0.015749999999997044,32.52032520325456,0.011006340784462361
MeanVar1,91.78375,91.78375,91.81325,0.02949999999999875,False,0.15225000000000932,0.18175000000000807,1,0.4713643842124777,91.798,0.014250000000004093,0.015249999999994657,33.8983050847472,0.010304125670105373
MeanVar1,91.9655,91.9655,91.99325,0.0277499999999975,False,0.15399999999999636,0.18174999999999386,1,0.4595156887128732,91.97925000000001,0.013750000000001705,0.013999999999995794,36.036036036039285,0.009530765430760422
MeanVar1,92.14725,92.14725,92.1755,0.028249999999999886,False,0.15175000000000693,0.18000000000000682,1,0.47458861668673025,92.16125,0.013999999999995794,0.014250000000004093,35.398230088495716,0.009987897905001202
MeanVar1,92.32725,92.32725,92.3565,0.02924999999999045,False,0.1495000000000033,0.17874999999999375,1,0.4701285080245712,92.3415,0.014249999999989882,0.015000000000000568,34.18803418804535,0.010244168986178755
MeanVar1,92.506,92.506,92.53675,0.030749999999997613,False,0.14875000000000682,0.17950000000000443,1,0.4849386797331737,92.52175,0.015749999999997044,0.015000000000000568,32.52032520325456,0.011042799070551751
