,Time,Peaks Amplitude,Intervals
MeanVar1,510.55425,0.542707823810368,0.19799999999997908
MeanVar1,510.75225,0.5268282846573511,0.19799999999997908
MeanVar1,510.95025,0.5344485570027663,0.19700000000000273
MeanVar1,511.14725,0.5532779674632785,0.19675000000000864
MeanVar1,511.344,0.5684704126680007,0.19625000000002046
MeanVar1,511.54025,0.59661329841065,0.19599999999996953
MeanVar1,511.73625,0.53783739861326,0.19800000000003593
MeanVar1,511.93425,0.5375664926702376,0.1967499999999518
MeanVar1,512.131,0.5463386572757885,0.19700000000000273
MeanVar1,512.328,0.5676844872357676,0.19450000000006185
MeanVar1,512.5225,0.5571898008947478,0.19700000000000273
MeanVar1,512.7195,0.58102677274027,0.19774999999992815
MeanVar1,512.91725,0.5293310306657422,0.19725000000005366
MeanVar1,513.1145,0.5498213124410287,0.19650000000001455
MeanVar1,513.311,0.569898379397749,0.1947499999999991
MeanVar1,513.50575,0.5542355640040508,0.19624999999996362
MeanVar1,513.702,0.5404964285619087,0.19825000000003
MeanVar1,513.90025,0.569573493374982,0.19624999999996362
MeanVar1,514.0965,0.5515938854278639,0.19650000000001455
MeanVar1,514.293,0.5698064479401677,0.19449999999994816
MeanVar1,514.4875,0.5507428976861732,0.19700000000000273
MeanVar1,514.6845,0.5372699911564283,0.1975000000001046
MeanVar1,514.8820000000001,0.5750565547820299,0.19649999999990087
MeanVar1,515.0785,0.5807773457725676,0.1947499999999991
MeanVar1,515.27325,0.5548795944813735,0.1955000000000382
MeanVar1,515.46875,0.5465240216843965,0.19799999999997908
MeanVar1,515.66675,0.542157599777273,0.19650000000001455
MeanVar1,515.86325,0.5583521141986876,0.19600000000002638
MeanVar1,516.05925,0.5821155946407908,0.1947499999999991
MeanVar1,516.254,0.5823493266985544,0.19650000000001455
MeanVar1,516.4505,0.5345099891910244,0.19724999999993997
MeanVar1,516.64775,0.5456858839750228,0.1962500000000773
MeanVar1,516.844,0.5700356312196999,0.19499999999993634
MeanVar1,517.039,0.5622599278098572,0.1955000000000382
MeanVar1,517.2345,0.5484516606188581,0.19775000000004184
MeanVar1,517.4322500000001,0.5655166709163261,0.1954999999999245
MeanVar1,517.62775,0.5609135464947601,0.19450000000006185
MeanVar1,517.82225,0.5601960543583562,0.19524999999998727
MeanVar1,518.0175,0.5428073932480324,0.19724999999993997
MeanVar1,518.21475,0.5428014861154912,0.1962500000000773
MeanVar1,518.4110000000001,0.590722748603064,0.19449999999994816
MeanVar1,518.6055,0.5759316637796722,0.19500000000005002
MeanVar1,518.8005,0.5368963672658396,0.19724999999993997
MeanVar1,518.99775,0.5433633068369379,0.19600000000002638
MeanVar1,519.19375,0.5697709346018152,0.19375000000002274
MeanVar1,519.3875,0.5576902708429591,0.1959999999999127
